date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/6/29;San Pedro;San Pedro;Berriz  ;Berriz  ;Bizkaia;19;43,193923;-2,589165
2022/8/26;Viernes de la Semana Grande;Aste Nagusiko Ostirala;Bilbao  ;Bilbao  ;Bizkaia;20;43,256963;-2,923441
2022/6/9;Fiesta local;Tokiko jai-eguna;Busturia  ;Busturia  ;Bizkaia;21;43,383000;-2,697000
2022/5/16;San Isidro Labrador;San Isidro Nekazari Deuna ;Derio  ;Derio  ;Bizkaia;901;43,302000;-2,881833
2022/6/29;San Pedro;San Pedro eguna;Dima  ;Dima  ;Bizkaia;26;43,143389;-2,751464
2022/10/13;San Fausto;San Fausto eguna;Durango;Durango;Bizkaia;27;43,169068;-2,632655
2022/6/24;San Juan;San Juan eguna;Ea  ;Ea  ;Bizkaia;28;43,380135;-2,585593
2022/6/29;San Pedro;San Pedro;Elantxobe  ;Elantxobe  ;Bizkaia;31;43,403422;-2,639800
2022/9/5;Fiesta local;Tokiko jai-eguna;Elorrio  ;Elorrio  ;Bizkaia;32;43,130387;-2,542155
2022/6/16;Corpus Christi;Gorpuzti;Erandio  ;Erandio  ;Bizkaia;902;43,307458;-2,946418
2022/9/29;San Miguel Arcángel;San Miguel Arcángel;Ereño  ;Ereño  ;Bizkaia;33;43,356944;-2,621667
2022/7/27;Día de Zezen;Zezen eguna;Ermua  ;Ermua  ;Bizkaia;34;43,186642;-2,502607
2022/6/24;San Juan;San Juan;Errigoiti;Errigoiti;Bizkaia;79;43,318709;-2,725344
2022/12/26;San Esteban;San Esteban;Etxebarri  ;Etxebarri  ;Bizkaia;29;43,247179;-2,890139
2022/11/30;San Andrés;San Andres eguna;Etxebarria  ;Etxebarria  ;Bizkaia;30;43,254146;-2,477354
2022/11/11;San Martin ;San Martin;Forua  ;Forua  ;Bizkaia;906;43,333712;-2,678589
